"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"08.04.2026","100,150","100,020","100,210","99,940","1,77%"
"07.04.2026","98,410","99,210","99,230","98,400","-0,67%"
"02.04.2026","99,070","98,730","99,200","98,530","-0,07%"
"01.04.2026","99,140","99,700","99,700","99,000","0,29%"
"31.03.2026","98,850","98,460","98,850","98,330","0,43%"
"30.03.2026","98,430","98,140","98,540","97,990","0,45%"
"27.03.2026","97,990","98,060","98,100","97,600","-0,25%"
"26.03.2026","98,240","98,740","98,750","98,240","-0,86%"
"25.03.2026","99,090","98,960","99,290","98,940","0,51%"
"24.03.2026","98,590","99,060","99,190","98,450","-0,42%"
"23.03.2026","99,010","98,130","99,590","97,610","0,33%"
"20.03.2026","98,680","99,780","99,780","98,610","-0,85%"
"19.03.2026","99,530","99,450","99,670","99,100","-0,35%"
"18.03.2026","99,880","100,420","100,510","99,740","-0,41%"
"17.03.2026","100,290","100,010","100,290","100,010","0,30%"
"16.03.2026","99,990","99,750","100,200","99,700","0,33%"
"13.03.2026","99,660","99,580","100,050","99,550","-0,23%"
"12.03.2026","99,890","100,110","100,210","99,690","-0,31%"
"11.03.2026","100,200","100,810","100,810","100,200","-0,92%"
"10.03.2026","101,130","101,240","101,240","100,780","0,66%"
"09.03.2026","100,470","99,690","100,560","99,490","0,01%"
